finding,group,n_positive,recall,ci_low,ci_high,tier
Atelectasis,M <30,138,0.6159,0.5327,0.6929,1
Atelectasis,F <30,93,0.6989,0.5993,0.7827,1
Atelectasis,M 30-49,295,0.8169,0.7688,0.8569,1
Atelectasis,F 30-49,202,0.7772,0.715,0.8291,1
Atelectasis,M 50-64,422,0.8246,0.7855,0.858,1
Atelectasis,F 50-64,258,0.814,0.762,0.8567,1
Atelectasis,M 65+,199,0.8241,0.7652,0.8707,1
Atelectasis,F 65+,173,0.8555,0.7954,0.9002,1
Cardiomegaly,M <30,32,0.9375,0.7985,0.9827,1
Cardiomegaly,F <30,27,0.9259,0.7663,0.9794,1
Cardiomegaly,M 30-49,40,0.775,0.625,0.8768,1
Cardiomegaly,F 30-49,73,0.863,0.7659,0.9239,1
Cardiomegaly,M 50-64,59,0.7288,0.604,0.8256,1
Cardiomegaly,F 50-64,77,0.8831,0.7925,0.9373,1
Cardiomegaly,M 65+,35,0.7143,0.5494,0.8367,1
Cardiomegaly,F 65+,36,0.9167,0.7817,0.9713,1
Effusion,M <30,182,0.7912,0.7264,0.8439,1
Effusion,F <30,91,0.6813,0.5799,0.768,1
Effusion,M 30-49,276,0.8116,0.7613,0.8533,1
Effusion,F 30-49,311,0.8199,0.7734,0.8587,1
Effusion,M 50-64,493,0.8215,0.7853,0.8528,1
Effusion,F 50-64,272,0.7059,0.6492,0.7569,1
Effusion,M 65+,259,0.8224,0.7712,0.8641,1
Effusion,F 65+,194,0.866,0.8109,0.9069,1
Infiltration,M <30,311,0.8682,0.826,0.9013,2
Infiltration,F <30,228,0.8684,0.8184,0.9063,2
Infiltration,M 30-49,537,0.8361,0.8025,0.865,2
Infiltration,F 30-49,521,0.833,0.7986,0.8626,2
Infiltration,M 50-64,682,0.8021,0.7705,0.8302,2
Infiltration,F 50-64,351,0.7493,0.7014,0.7918,2
Infiltration,M 65+,268,0.7836,0.7305,0.8287,2
Infiltration,F 65+,233,0.7983,0.7421,0.8448,2
Mass,M <30,82,0.8049,0.7063,0.8762,1
Mass,F <30,48,0.8542,0.7283,0.9275,1
Mass,M 30-49,126,0.8889,0.8221,0.9327,1
Mass,F 30-49,114,0.6754,0.585,0.7544,1
Mass,M 50-64,257,0.7393,0.6824,0.7892,1
Mass,F 50-64,112,0.7232,0.634,0.7976,1
Mass,M 65+,90,0.8111,0.7182,0.8786,1
Mass,F 65+,45,0.7333,0.5896,0.8404,1
Nodule,M <30,73,0.5616,0.4476,0.6695,2
Nodule,F <30,47,0.8298,0.6986,0.9111,2
Nodule,M 30-49,164,0.7927,0.7243,0.8477,2
Nodule,F 30-49,117,0.6923,0.6037,0.7687,2
Nodule,M 50-64,235,0.8085,0.7534,0.8537,2
Nodule,F 50-64,145,0.7103,0.6318,0.778,2
Nodule,M 65+,90,0.7333,0.6338,0.8138,2
Nodule,F 65+,59,0.5424,0.4166,0.663,2
Pneumothorax,M <30,68,0.7206,0.6044,0.8132,1
Pneumothorax,F <30,46,0.8696,0.7433,0.9388,1
Pneumothorax,M 30-49,104,0.6346,0.5388,0.7208,1
Pneumothorax,F 30-49,176,0.892,0.8375,0.9298,1
Pneumothorax,M 50-64,153,0.8366,0.7699,0.8868,1
Pneumothorax,F 50-64,145,0.8138,0.7426,0.8688,1
Pneumothorax,M 65+,69,0.7971,0.6878,0.8751,1
Pneumothorax,F 65+,93,0.871,0.7879,0.9246,1
Consolidation,M <30,82,0.8902,0.8044,0.9412,1
Consolidation,F <30,58,0.8621,0.7507,0.9284,1
Consolidation,M 30-49,118,0.839,0.7622,0.8944,1
Consolidation,F 30-49,111,0.8649,0.789,0.9164,1
Consolidation,M 50-64,213,0.892,0.8432,0.927,1
Consolidation,F 50-64,76,0.7632,0.6564,0.8446,1
Consolidation,M 65+,69,0.7971,0.6878,0.8751,1
Consolidation,F 65+,67,0.8657,0.764,0.9277,1
Pleural_Thickening,M <30,38,0.6842,0.5254,0.8092,1
Pleural_Thickening,F <30,28,0.75,0.5664,0.8732,1
Pleural_Thickening,M 30-49,70,0.8,0.6918,0.877,1
Pleural_Thickening,F 30-49,75,0.8133,0.7107,0.8854,1
Pleural_Thickening,M 50-64,152,0.6776,0.5997,0.7468,1
Pleural_Thickening,F 50-64,78,0.7564,0.6506,0.8381,1
Pleural_Thickening,M 65+,49,0.7755,0.6412,0.8698,1
Pleural_Thickening,F 65+,39,0.8205,0.6733,0.9102,1
