finding,threshold,pooled_recall,pooled_precision,flagged_rate,lift_over_random,tier
Atelectasis,0.5823,0.797,0.173,0.479,0.317,1
Cardiomegaly,0.4818,0.839,0.067,0.276,0.563,1
Effusion,0.6509,0.8,0.298,0.326,0.474,1
Infiltration,0.51,0.817,0.223,0.668,0.148,2
Mass,0.6328,0.77,0.084,0.469,0.301,1
Nodule,0.5864,0.733,0.066,0.599,0.134,2
Pneumonia,0.2499,0.888,0.014,0.769,0.119,0
Pneumothorax,0.4974,0.813,0.122,0.333,0.479,1
Consolidation,0.5568,0.855,0.086,0.459,0.396,1
Edema,0.5034,0.883,0.073,0.242,0.641,0
Emphysema,0.4382,0.823,0.084,0.233,0.59,0
Fibrosis,0.3894,0.766,0.021,0.506,0.26,0
Pleural_Thickening,0.5356,0.749,0.046,0.504,0.244,1
Hernia,0.0043,0.8,0.001,0.393,0.407,0
